seg_id,time_to_failure
seg_51f0a2,4.329750631409963
seg_de98fa,2.6735140786957126
seg_ad82ca,6.898302168056471
seg_e3ca24,6.6285003063411265
seg_64f8dc,4.908799855085159
seg_e6c973,6.671641433709803
seg_88b289,9.063664098156522
seg_8c1e7d,2.219183433210674
seg_b7a8a1,4.821265601412884
seg_18096a,6.669718800275378
seg_7f5b6f,8.345813210767028
seg_d753f8,2.6061223155420605
seg_55239a,3.5915628445095207
seg_7a9f2b,1.9839643010324184
seg_2d402d,2.3828636605619393
seg_ce5520,2.298846357167529
seg_7540f3,5.584391915341418
seg_d1cb37,8.3453524023154
seg_2ea616,4.021357111284502
seg_4a91a9,3.6941777208038786
seg_80211c,8.228321324486675
seg_5d45db,6.45283938451177
seg_a63573,5.561069696244216
seg_09ed4e,8.644274276185467
seg_04a696,7.601673388281882
seg_9aa6e2,2.5981049071335733
seg_dbc615,2.6477630548397886
seg_ba2c48,5.09278290941734
seg_1e0b82,7.913499867613682
seg_a9b957,3.9738896574746008
seg_87e4e8,1.9113004997745962
seg_d14524,4.696001778538627
seg_ea096b,7.956030233442558
seg_4f76a2,4.501597167374408
seg_2cdbe3,3.234941213175966
seg_696621,4.889470908083778
seg_e6e1df,4.91390215184699
seg_0339ca,3.180836636715255
seg_f229bf,6.336781237784564
seg_355d19,8.35048825449039
seg_766e42,3.827014924414936
seg_5b7325,4.9077329686684585
seg_24157a,6.342709978709586
seg_326eb7,4.598923496359076
seg_b402ac,6.713500172435564
seg_e0c329,3.898098358841473
seg_996c37,8.481550146978421
seg_9757ac,8.345346813355413
seg_54b0ee,7.206336131189628
seg_2f86cd,1.5855587598199188
seg_30661b,4.7641084517911185
seg_fbff25,3.006404674529797
seg_1bf7b3,3.0343484819949165
seg_07f8df,4.5099361519964924
seg_e1f081,7.87408830211003
seg_529c99,4.633218681431165
seg_b00f05,7.970605713305032
seg_6e98aa,5.333785822847717
seg_b51380,8.498438961649594
seg_d62e9c,2.8316090214671767
seg_b35174,1.9839643010324184
seg_98c544,4.988188500535015
seg_60b696,6.194251726642446
seg_f342a3,2.956531103410551
seg_f88d4a,3.529845520422611
